Id,Type
1,Connective
2,Connective
3,Connective
4,Connective
5,Connective
6,Connective
7,Connective
8,Connective
9,Connective
10,Connective
11,Connective
12,Connective
13,Connective
14,Connective
15,Connective
16,Connective
17,Connective
18,Connective
19,Connective
20,Connective
21,Connective
22,Connective
23,Connective
24,Connective
25,Connective
26,Connective
27,Connective
28,Connective
29,Connective
30,Connective
31,Connective
32,Connective
33,Connective
34,Connective
35,Connective
36,Connective
37,Connective
38,Connective
39,Connective
40,Connective
41,Connective
42,Connective
43,Connective
44,Connective
45,Connective
46,Connective
47,Connective
48,Connective
49,Connective
50,Connective
51,Connective
52,Connective
53,Connective
54,Connective
55,Connective
56,Connective
57,Connective
58,Connective
59,Connective
60,Connective
61,Connective
62,Connective
63,Connective
64,Connective
65,Connective
66,Connective
67,Connective
68,Connective
69,Connective
70,Connective
71,Connective
72,Connective
73,Connective
74,Connective
75,Connective
76,Connective
77,Connective
78,Connective
79,Connective
80,Connective
81,Connective
82,Connective
83,Connective
84,Connective
85,Connective
86,Connective
87,Connective
88,Connective
89,Connective
90,Connective
91,Connective
92,Connective
93,Connective
94,Connective
95,Connective
96,Connective
97,Connective
98,Connective
99,Connective
100,Connective
101,Connective
102,Connective
103,Connective
104,Connective
105,Connective
106,Connective
107,Connective
108,Connective
109,Connective
110,Connective
111,Connective
112,Connective
113,Connective
114,Connective
115,Connective
116,Connective
117,Connective
118,Connective
119,Connective
120,Connective
121,Connective
122,Connective
123,Connective
124,Connective
125,Connective
126,Connective
127,Connective
128,Connective
129,Connective
130,Connective
131,Connective
132,Connective
133,Connective
134,Connective
135,Connective
136,Connective
137,Connective
138,Connective
139,Connective
140,Connective
141,Connective
142,Connective
143,Connective
144,Connective
145,Connective
146,Connective
147,Connective
148,Connective
149,Connective
150,Connective
151,Connective
152,Connective
153,Connective
154,Connective
155,Connective
156,Connective
157,Connective
158,Connective
159,Connective
160,Connective
161,Connective
162,Connective
163,Connective
164,Connective
165,Connective
166,Connective
167,Connective
168,Connective
169,Connective
170,Connective
171,Connective
172,Connective
173,Connective
174,Connective
175,Connective
176,Connective
177,Connective
178,Connective
179,Connective
180,Connective
181,Connective
182,Connective
183,Connective
184,Connective
185,Connective
186,Connective
187,Connective
188,Immune
189,Connective
190,Cancer
191,Cancer
192,Connective
193,Cancer
194,Immune
195,Cancer
196,Cancer
197,Cancer
198,Immune
199,Cancer
200,Cancer
201,Connective
202,Cancer
203,Immune
204,Cancer
205,Connective
206,Connective
207,Connective
208,Cancer
209,Cancer
210,Cancer
211,Cancer
212,Cancer
213,Connective
214,Cancer
215,Cancer
216,Cancer
217,Cancer
218,Connective
219,Cancer
220,Connective
221,Cancer
222,Cancer
223,Connective
224,Cancer
225,Connective
226,Cancer
227,Immune
228,Cancer
229,Cancer
230,Cancer
231,Connective
232,Connective
233,Cancer
234,Cancer
235,Cancer
236,Cancer
237,Connective
238,Cancer
239,Cancer
240,Connective
241,Immune
242,Cancer
243,Cancer
244,Connective
245,Cancer
246,Immune
247,Cancer
248,Cancer
249,Cancer
250,Cancer
251,Cancer
252,Cancer
253,Cancer
254,Connective
255,Cancer
256,Cancer
257,Connective
258,Cancer
259,Cancer
260,Cancer
261,Cancer
262,Cancer
263,Connective
264,Cancer
265,Cancer
266,Cancer
267,Cancer
268,Cancer
269,Cancer
270,Cancer
271,Cancer
272,Cancer
273,Cancer
274,Cancer
275,Cancer
276,Cancer
277,Cancer
278,Cancer
279,Cancer
280,Cancer
281,Cancer
282,Cancer
283,Cancer
284,Cancer
285,Cancer
286,Cancer
287,Immune
288,Immune
289,Cancer
290,Cancer
291,Cancer
292,Cancer
293,Cancer
294,Cancer
295,Cancer
296,Cancer
297,Cancer
298,Cancer
299,Cancer
300,Cancer
301,Cancer
302,Cancer
303,Cancer
304,Cancer
305,Cancer
306,Cancer
307,Cancer
308,Cancer
309,Cancer
310,Cancer
311,Cancer
312,Cancer
313,Cancer
314,Cancer
315,Cancer
316,Cancer
317,Cancer
318,Cancer
319,Cancer
320,Cancer
321,Cancer
322,Cancer
323,Cancer
324,Cancer
325,Cancer
326,Cancer
327,Cancer
328,Cancer
329,Cancer
330,Cancer
331,Cancer
332,Cancer
333,Cancer
334,Cancer
335,Cancer
336,Cancer
337,Cancer
338,Cancer
339,Cancer
340,Cancer
341,Cancer
342,Cancer
343,Cancer
344,Cancer
345,Cancer
346,Cancer
347,Cancer
348,Cancer
349,Cancer
350,Cancer
351,Cancer
352,Cancer
353,Cancer
354,Cancer
355,Cancer
356,Cancer
357,Cancer
358,Cancer
359,Cancer
360,Cancer
361,Cancer
362,Cancer
363,Cancer
364,Cancer
365,Cancer
366,Cancer
367,Cancer
368,Cancer
369,Cancer
370,Cancer
371,Cancer
372,Cancer
373,Cancer
374,Cancer
375,Cancer
376,Cancer
377,Cancer
378,Cancer
379,Cancer
380,Cancer
381,Cancer
382,Cancer
383,Cancer
384,Cancer
385,Cancer
386,Cancer
387,Cancer
388,Cancer
389,Cancer
390,Cancer
391,Cancer
392,Cancer
393,Cancer
394,Cancer
395,Cancer
396,Cancer
397,Cancer
398,Cancer
399,Cancer
400,Cancer
401,Cancer
402,Cancer
403,Cancer
404,Cancer
405,Cancer
406,Cancer
407,Cancer
408,Cancer
409,Cancer
410,Cancer
411,Cancer
412,Cancer
413,Cancer
414,Cancer
415,Cancer
416,Cancer
417,Cancer
418,Cancer
419,Cancer
420,Cancer
421,Cancer
422,Cancer
423,Cancer
424,Cancer
425,Cancer
426,Cancer
427,Cancer
428,Cancer
429,Cancer
430,Cancer
431,Cancer
432,Cancer
433,Cancer
434,Cancer
435,Cancer
436,Cancer
437,Cancer
438,Cancer
439,Cancer
440,Cancer
441,Connective
442,Cancer
443,Cancer
444,Cancer
445,Cancer
446,Cancer
447,Cancer
448,Cancer
449,Cancer
450,Cancer
451,Connective
452,Cancer
453,Cancer
454,Immune
455,Cancer
456,Cancer
457,Cancer
458,Cancer
459,Cancer
460,Cancer
461,Immune
462,Cancer
463,Cancer
464,Connective
465,Cancer
466,Cancer
467,Cancer
468,Cancer
469,Cancer
470,Cancer
471,Cancer
472,Connective
473,Cancer
474,Cancer
475,Cancer
476,Cancer
477,Cancer
478,Cancer
479,Cancer
480,Cancer
481,Cancer
482,Cancer
483,Cancer
484,Cancer
485,Cancer
486,Cancer
487,Connective
488,Immune
489,Cancer
490,Cancer
491,Immune
492,Cancer
493,Cancer
494,Cancer
495,Cancer
496,Cancer
497,Cancer
498,Connective
499,Cancer
500,Cancer
501,Cancer
502,Cancer
503,Immune
504,Cancer
505,Cancer
506,Cancer
507,Cancer
508,Cancer
509,Cancer
510,Cancer
511,Cancer
512,Cancer
513,Cancer
514,Cancer
515,Cancer
516,Cancer
517,Cancer
518,Connective
519,Cancer
520,Cancer
521,Cancer
522,Cancer
523,Cancer
524,Cancer
525,Cancer
526,Cancer
527,Cancer
528,Immune
529,Cancer
530,Cancer
531,Cancer
532,Connective
533,Cancer
534,Cancer
535,Immune
536,Cancer
537,Cancer
538,Cancer
539,Cancer
540,Cancer
541,Cancer
542,Cancer
543,Cancer
544,Connective
545,Connective
546,Cancer
547,Cancer
548,Connective
549,Cancer
550,Cancer
551,Cancer
552,Connective
553,Cancer
554,Cancer
555,Cancer
556,Cancer
557,Cancer
558,Cancer
559,Cancer
560,Connective
561,Immune
562,Cancer
563,Cancer
564,Cancer
565,Immune
566,Cancer
567,Cancer
568,Cancer
569,Cancer
570,Cancer
571,Cancer
572,Cancer
573,Immune
574,Cancer
575,Cancer
576,Cancer
577,Cancer
578,Cancer
579,Cancer
580,Cancer
581,Cancer
582,Cancer
583,Cancer
584,Cancer
585,Cancer
586,Cancer
587,Cancer
588,Cancer
589,Cancer
590,Immune
591,Cancer
592,Cancer
593,Cancer
594,Immune
595,Cancer
596,Immune
597,Connective
598,Cancer
599,Immune
600,Cancer
601,Cancer
602,Immune
603,Cancer
604,Cancer
605,Cancer
606,Cancer
607,Immune
608,Cancer
609,Immune
610,Immune
611,Cancer
612,Cancer
613,Cancer
614,Immune
615,Cancer
616,Cancer
617,Cancer
618,Immune
619,Cancer
620,Cancer
621,Connective
622,Cancer
623,Cancer
624,Connective
625,Cancer
626,Immune
627,Cancer
628,Connective
629,Cancer
630,Immune
631,Cancer
632,Connective
633,Connective
634,Cancer
635,Cancer
636,Immune
637,Immune
638,Cancer
639,Cancer
640,Cancer
641,Cancer
642,Cancer
643,Immune
644,Cancer
645,Connective
646,Immune
647,Cancer
648,Cancer
649,Immune
650,Immune
651,Cancer
652,Cancer
653,Immune
